,pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
0,0,0,15.546793102615574,745384,11588330.830000006,4.352292845030221,13.858613148587814
1,0,1,14.665116261027627,812052,11908836.990000008,4.023426553964524,15.238329421417456
2,0,2,13.855872396045255,983120,13621985.270000013,3.68133233989746,15.80912144759353
3,0,3,13.723046091646314,1154591,15844505.510000013,3.579707013132775,16.08544787654876
4,0,4,13.761269493148893,1538874,21176859.830000006,3.497678705339092,16.483428920058213
5,0,5,13.114718104130556,2142848,28102847.45999996,3.1653035912953227,15.997376757046911
6,0,6,12.366483198541859,2166062,26786569.329999976,2.9048300233326625,15.733576679039352
7,1,0,14.933912166838205,450832,6732685.490000001,4.126296957625013,13.0651058581003
8,1,1,15.889681491449776,457005,7261663.890000003,3.900411549107772,14.398829874206765
9,1,2,13.578604216760102,549806,7465598.070000005,3.6324939342240863,14.97234447632442
10,1,3,13.298935123885913,657823,8748345.400000006,3.495981000968348,15.357928277188542
11,1,4,13.300215230184193,970310,12905331.840000026,3.4350760272490137,15.916474079918856
12,1,5,12.405062558505447,1757315,21799602.51,3.0345113312069745,16.163453759884113
13,1,6,11.893441186013739,1913907,22762940.34,2.866223912656148,16.113872506806935
14,2,0,13.905998240508902,295540,4109778.7200000007,3.7484330716654197,12.556656145727718
15,2,1,13.489916774343415,275516,3716687.91,3.6240552635781538,13.559980894502681
16,2,2,13.097853644112856,334814,4385344.770000001,3.4849942953400954,14.09179835610034
17,2,3,13.404848844235158,400514,5368829.63,3.397586126827018,14.483501665415494
18,2,4,12.834069293556139,610735,7838215.31000001,3.321869239522869,15.121248166504559
19,2,5,12.00820934138974,1403774,16856812.06000004,2.9692674248134048,16.03825397999046
20,2,6,12.207272100945938,1497911,18285407.16000003,2.924528833822566,16.009125857373984
21,3,0,16.296274504265302,212412,3461524.26,3.9442208067340903,11.721355754520838
22,3,1,14.078456855776164,187105,2634149.6699999995,3.839584511370616,12.293139265375665
23,3,2,13.75330237204844,222213,3056162.58,3.7127453389315614,12.727925590950955
24,3,3,13.673358564062534,266474,3643594.5499999993,3.656654983225388,13.225332520167244
25,3,4,13.48202133679182,399404,5384773.25,3.559355013970816,13.905908417262962
26,3,5,12.456958731514096,1007185,12546461.980000028,3.173553269756808,15.278970670699367
27,3,6,12.393742378901413,1153213,14292624.830000035,3.1529892569715905,15.285190498091724
28,4,0,16.959032470214574,249367,4229023.049999999,4.907154635537184,11.88220949577167
29,4,1,16.049931773647927,210769,3382828.0699999994,4.589847273555415,11.826519407895296
30,4,2,16.22204451325721,232515,3771868.68,4.614791647850676,12.176036448079671
31,4,3,16.066489272968948,262561,4218433.49,4.5391688788510045,12.54041091646632
32,4,4,16.043220411812204,346760,5563147.11,4.494365497750592,12.778135457891452
33,4,5,14.165596477896118,650066,9208572.640000015,3.791854965495808,13.011973244431355
34,4,6,14.049892902471592,739046,10383517.15000002,3.7496920489387713,13.10816721522954
35,5,0,16.505428255676506,442481,7303338.399999997,4.795388977153797,14.03841692911073
36,5,1,14.837301563605292,435404,6460220.449999997,4.21104760176753,14.262735403529756
37,5,2,15.084722402549655,442097,6668910.519999996,4.286643926559085,14.437845840944721
38,5,3,17.298969382398223,455261,7875546.1,4.342384478354154,14.463538046875147
39,5,4,16.08780409478322,476118,7659693.109999998,4.5847410725912265,14.139476162577619
