,pickup_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
0,1.0,76.91134320550476,24851,1911323.7899999986,1.9679103456601388,17.353243115402922
1,2.0,38.25569852941176,272,10405.55,11.49591911764706,12.110945058707035
2,3.0,27.74754271765665,3687,102305.19000000008,7.160328180092213,2.975824989319402
3,4.0,11.980960111957724,644529,7722076.240000001,2.645427001733045,13.81840325582454
4,5.0,72.00596837944664,506,36435.02,21.876956521739125,1.9109984430335611
5,6.0,19.101310466138965,1137,21718.19,3.847475813544413,4.319189392834207
6,7.0,11.33268324494061,485334,5500136.490000006,2.642578636567792,8.425316589199994
7,8.0,31.4780231573002,3541,111463.68,5.210516803162949,14.118535227922775
8,9.0,23.520637905604747,2712,63787.97000000009,5.606058259587022,3.3225202397232287
9,10.0,49.32826692443433,88969,4388686.579999998,14.022302936978038,12.596378932549472
10,11.0,30.460539007092233,3525,107373.40000000011,6.929537588652482,4.082575133710152
11,12.0,17.54157493506969,136685,2397670.1700000004,4.2533995683505825,10.881367049122591
12,13.0,16.082251118471962,2730958,43919952.34999995,4.061608303752685,16.558353200908954
13,14.0,26.27793424079741,20864,548262.8199999973,6.0244377875766935,6.49491645737271
14,15.0,30.607042406669105,2759,84444.83000000006,7.757038782167454,3.0606418408127705
15,16.0,26.980703868104047,4731,127645.71000000025,6.688757133798353,5.11072024758067
16,17.0,13.25931595458617,66940,887578.6099999981,3.0488540484015543,8.502157544009615
17,18.0,22.229564295039182,6128,136222.77000000008,5.433516644908615,3.641467306651843
18,19.0,26.47691783831288,4552,120522.93000000025,6.0303185413005265,3.513005635429955
19,20.0,23.215369847543784,3542,82228.84000000008,5.480923207227557,4.168611930584995
20,21.0,25.381857798165164,6104,154930.86000000016,6.318920380078637,2.972788046821333
21,22.0,26.587140389266388,8683,230856.14,6.20134630887942,3.132203400744248
22,23.0,59.748542805100186,1098,65603.90000000001,16.439571948998186,7.288372602081812
23,24.0,11.613424531170692,884597,10273200.5,2.4739675581084204,13.996404334480136
24,25.0,13.679935937557554,298771,4087168.140000008,3.293480826452368,13.228952099018596
25,26.0,20.333093545046548,14485,294524.85999999923,4.558633068691753,2.7985684070844354
26,27.0,35.158768115942024,276,9703.819999999998,7.270942028985507,6.658118430767425
27,28.0,70.96907620917372,28015,1988198.6700000016,9.494139211136883,9.878030441605068
28,29.0,26.85431337680302,5061,135909.68000000008,5.884694724362777,3.7877519865522182
29,30.0,37.81206451612904,155,5860.870000000001,5.587806451612903,3.83267679737394
30,31.0,25.944792054624447,1611,41797.06,6.4169397889509625,8.382805338650385
31,32.0,27.92919824491425,5014,140037.00000000006,7.429840446749099,2.269319743544769
32,33.0,15.544118362776507,319712,4969641.170000002,3.9418714030127058,14.719018754664026
33,34.0,13.378626128991225,7861,105169.38000000002,3.0759763388881827,13.74701604733967
34,35.0,25.635867616357373,16286,417505.73999999627,6.357817143558881,2.107015815575387
35,36.0,15.048647257383962,35550,534979.4099999998,3.689090014064698,12.824519898293572
36,37.0,14.589703283680578,66663,972593.3899999984,3.410804044222433,10.69890716919057
37,38.0,37.9212396265561,3856,146224.30000000034,10.547699688796682,3.035346869328212
38,39.0,29.281265483762745,17922,524778.8399999959,7.294323178216714,2.5751870023867904
39,40.0,13.852237047714413,156787,2171850.6899999995,3.4410803829399152,15.210154934956277
40,41.0,10.665275101955958,1116168,11904238.779999975,2.3199300642913903,10.616293791241768
41,42.0,11.230043865957118,500616,5621939.6399999885,2.4677288979976684,7.218299044062134
42,43.0,11.098451350511718,4390632,48729215.64999997,2.1569554610817065,14.618265433423291
43,44.0,45.889869848156174,461,21155.23,13.884815618221259,0.9886739587759634
44,45.0,15.353734448191133,655390,10062684.019999988,3.1221669845435605,12.724931212234988
45,46.0,39.75156748911465,689,27388.82999999999,10.358200290275763,2.3889431578237965
46,47.0,20.997216987765448,7111,149311.21000000017,5.13385881029391,2.4373059541867907
47,48.0,11.478330930235405,9511334,109174239.23999962,2.4229221347919707,14.759408413347778
48,49.0,13.2477531346616,93152,1234054.6999999974,3.0443304491583616,11.319195273910575
49,50.0,11.65285226490639,2779563,32389837.0,2.497655969661406,14.9570905619326
50,51.0,33.022437663155976,11109,366846.2599999998,9.01491493383744,1.7821566893771703
51,52.0,14.554903780398552,166702,2426331.57,3.632667634461491,16.120390739820824
52,53.0,29.20455024986125,3602,105194.7900000002,7.750310938367576,4.25500159284432
53,54.0,14.956878255991022,12477,186616.97,3.7723683577783143,14.95310416380266
54,55.0,34.05822796352572,6580,224103.13999999923,8.550227963525838,4.029661151951738
55,56.0,33.00083328355532,16741,552466.9499999997,6.5098470820142165,9.408058187925356
56,57.0,23.40429889298893,1084,25370.259999999995,5.356559040590406,9.525764687721574
57,58.0,29.373117154811712,478,14040.35,7.016380753138076,9.746880183152008
58,59.0,25.287182662538704,323,8167.760000000001,6.911021671826629,3.705148876315993
59,60.0,21.78387104622873,4110,89531.71000000008,5.367919708029193,3.1023268418664807
60,61.0,17.00081439448778,69082,1174450.260000005,3.945148084884627,7.89973707521258
61,62.0,17.76139439655173,18560,329651.4800000001,4.078215517241377,6.03890496850623
62,63.0,25.605370211549467,6996,179135.17000000013,5.581573756432251,5.907476421403116
63,64.0,32.37786512027492,2328,75375.67000000001,7.712349656357389,4.778835935669092
64,65.0,15.37905364194989,393498,6051626.849999998,3.915502289719388,12.950847019958491
65,66.0,15.690203789678257,148192,2325162.68,3.9525843500324016,14.867778181636385
66,67.0,23.678787185354714,4370,103476.3000000001,5.654647597254008,4.619497142399845
67,68.0,11.639068579636936,7113963,82799903.2299997,2.3314092468572483,15.825699580251053
68,69.0,18.551016151719416,20617,382466.29999999923,4.415168550225544,3.489548824208846
69,70.0,27.73091140321924,51503,1428225.1300000004,7.098903170689084,7.124813745885963
70,71.0,25.65102478122181,12227,313635.07999999897,6.249874049235292,2.7058370888894774
71,72.0,25.248077070699193,13027,328906.69999999827,5.988093191064713,2.5318025329788454
72,73.0,22.78328148148148,1350,30757.43,5.478177777777778,5.384435241387327
73,74.0,10.819881470188268,1146547,12405502.639999947,2.4376319505436848,8.06799892000425
74,75.0,10.725775888948895,2087831,22393607.400000054,2.3510688365102483,11.512347994037038
75,76.0,27.45614794979075,29875,820252.4199999984,6.64045556485356,2.903371422559666
76,77.0,26.159788742798025,6769,177075.60999999984,6.400744570837642,3.6467888157064823
77,78.0,24.22937543761377,7141,173021.96999999994,5.818498809690528,3.0697276294007034
78,79.0,11.201648942707699,8258407,92507776.03999989,2.398946013438193,16.423047915074548
79,80.0,14.095714668114129,134489,1895718.570000001,3.387586791484808,13.71942397228568
80,81.0,29.776963836782087,5171,153976.68000000017,7.9020305550183725,1.8583698079736863
81,82.0,17.650877677876448,88643,1564626.7500000026,3.565461909005783,5.668627581268513
82,83.0,14.304929730046261,34154,488570.57,3.239815834162913,5.075621114126818
83,84.0,48.27229166666667,144,6951.21,7.967569444444443,4.6755985708162
84,85.0,21.78725119744545,11274,245629.46999999997,5.2900274968955125,3.9687692520321383
85,86.0,51.712043083137004,2971,153636.48000000007,13.8027128912824,1.5678376714176143
86,87.0,16.939770082214718,2265288,38373457.890000015,4.35402389894798,16.012578566919547
87,88.0,17.86324093137936,1187529,21213116.64,4.663914110729111,14.769313786545384
88,89.0,20.434903220667454,37663,769639.7599999984,5.03649895122534,5.683472959770167
89,90.0,10.692893541681443,5433535,58100211.31000008,2.039520557059104,16.816465937257647
90,91.0,26.38620953706913,14365,379037.8999999981,6.505246780368951,2.4757020940116443
91,92.0,23.389560280260874,16556,387237.559999999,5.716439357332687,4.891496188800881
92,93.0,45.63621494978162,53566,2444549.490000002,9.722396669529152,14.386798987863688
93,94.0,21.014676384839657,3430,72080.34000000003,4.807128279883381,3.143344684861654
94,95.0,19.426004444630788,47698,926581.5599999994,4.822683969977773,7.489454041580871
95,96.0,26.072454394693214,1206,31443.38000000002,4.062479270315091,8.379163346272081
96,97.0,13.331551207855206,272839,3637367.1000000075,3.185132880563252,11.741612493304475
97,98.0,28.46110330699449,3417,97251.59000000016,6.734161545215101,3.43756933063653
98,99.0,45.12156250000001,64,2887.780000000001,12.27734375,7.215012477587862
99,100.0,11.729164003103211,6169054,72357846.10999987,2.340521319800366,13.878514778747627
100,101.0,34.569718796250655,4054,140145.6400000002,8.915545140601873,2.8609087197317034
101,102.0,23.42072508896801,4496,105299.58000000019,5.359312722419929,4.778888879027955
102,103.0,11.5,1,11.5,1.78,0.0
103,104.0,23.66666666666667,3,71.0,7.963333333333334,16.78569105691057
104,105.0,16.904719999999998,375,6339.27,4.385013333333333,13.93289925627079
105,106.0,13.41858450673525,45878,615617.8199999997,3.192426435328479,12.925819973647506
106,107.0,10.790379906061316,7041188,75977093.51000006,2.1371601354771874,16.734772547169122
107,108.0,31.504864420706703,3651,115024.26000000015,6.956499589153656,4.397846427547067
108,109.0,46.66964497041421,169,7887.170000000001,7.11284023668639,6.118899875060311
109,110.0,15.111111111111109,9,136.0,4.037777777777778,7.705786423027803
